imdb_title_id,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1,allgenders_0age_avg_vote,allgenders_0age_votes,allgenders_18age_avg_vote,allgenders_18age_votes,allgenders_30age_avg_vote,allgenders_30age_votes,allgenders_45age_avg_vote,allgenders_45age_votes,males_allages_avg_vote,males_allages_votes,males_0age_avg_vote,males_0age_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_0age_avg_vote,females_0age_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
tt0000009,5.9,154,5.9,6.0,12,4,10,43,28,28,9,1,5,14,7.2,4.0,6.0,38.0,5.7,50.0,6.6,35.0,6.2,97.0,7.0,1.0,5.9,24.0,5.6,36.0,6.7,31.0,6.0,35.0,7.3,3.0,5.9,14.0,5.7,13.0,4.5,4.0,5.7,34.0,6.4,51.0,6.0,70.0
tt0000574,6.1,589,6.3,6.0,57,18,58,137,139,103,28,20,13,16,6.0,1.0,6.1,114.0,6.0,239.0,6.3,115.0,6.1,425.0,6.0,1.0,6.2,102.0,6.0,210.0,6.2,100.0,6.2,50.0,,,5.9,12.0,6.2,23.0,6.6,14.0,6.4,66.0,6.0,96.0,6.2,331.0
tt0001892,5.8,188,6.0,6.0,6,6,17,44,52,32,16,5,6,4,,,5.5,25.0,5.8,72.0,6.2,62.0,5.9,146.0,,,5.5,21.0,5.9,67.0,6.2,55.0,5.7,15.0,,,5.8,4.0,5.8,4.0,6.8,7.0,5.4,32.0,6.2,31.0,5.9,123.0
tt0002101,5.2,446,5.3,5.0,15,8,16,62,98,117,63,26,25,16,,,5.3,23.0,5.0,111.0,5.3,193.0,5.1,299.0,,,5.2,20.0,4.9,96.0,5.2,171.0,5.9,39.0,,,5.7,3.0,5.5,14.0,6.1,21.0,4.9,57.0,5.5,207.0,4.7,105.0
tt0002130,7.0,2237,6.9,7.0,210,225,436,641,344,169,66,39,20,87,7.5,4.0,7.0,402.0,7.0,895.0,7.1,482.0,7.0,1607.0,8.0,2.0,7.0,346.0,7.0,804.0,7.0,396.0,7.2,215.0,7.0,2.0,7.0,52.0,7.3,82.0,7.4,77.0,6.9,139.0,7.0,488.0,7.0,1166.0
tt0002199,5.7,484,5.8,6.0,33,15,48,80,123,77,36,20,18,34,,,5.6,35.0,5.6,177.0,5.8,168.0,5.7,354.0,,,5.6,32.0,5.7,159.0,5.8,151.0,5.8,31.0,,,6.3,3.0,5.1,13.0,6.5,15.0,5.5,67.0,5.9,173.0,5.6,181.0
tt0002423,6.8,753,6.8,7.0,80,65,105,209,142,80,27,13,4,28,3.0,1.0,6.4,59.0,6.7,287.0,7.0,276.0,6.6,530.0,3.0,1.0,6.4,41.0,6.6,240.0,6.8,238.0,7.4,93.0,,,6.5,16.0,7.2,40.0,8.2,34.0,6.2,88.0,6.6,139.0,6.8,455.0
tt0002445,6.2,273,6.2,6.0,15,8,30,74,66,40,22,6,2,10,6.0,1.0,5.9,34.0,6.2,99.0,6.3,69.0,6.2,191.0,6.0,1.0,5.8,29.0,6.2,85.0,6.3,64.0,6.3,21.0,,,6.5,5.0,6.3,11.0,6.2,5.0,5.7,41.0,5.8,40.0,6.2,154.0
tt0002452,6.7,198,7.1,7.0,53,7,23,35,30,24,12,5,3,6,,,7.4,28.0,6.7,104.0,6.5,39.0,6.7,153.0,,,7.3,24.0,6.6,92.0,6.5,33.0,7.0,19.0,,,8.3,3.0,6.8,10.0,6.8,6.0,5.4,25.0,6.7,25.0,6.8,135.0
tt0002461,5.5,225,5.4,6.0,9,6,22,34,53,40,23,8,4,26,,,5.9,11.0,5.3,95.0,5.8,72.0,5.5,168.0,,,5.9,11.0,5.2,88.0,5.8,63.0,7.7,15.0,,,,,7.2,6.0,9.7,9.0,5.4,37.0,5.8,109.0,5.4,68.0
tt0002646,6.6,331,6.6,7.0,17,23,63,99,66,24,11,9,5,14,,,6.3,31.0,6.6,125.0,6.8,100.0,6.5,232.0,,,6.3,26.0,6.5,110.0,6.7,85.0,7.1,34.0,,,6.1,5.0,6.6,13.0,7.8,15.0,6.3,39.0,6.9,67.0,6.5,182.0
tt0002844,7.0,1944,6.6,7.0,195,145,335,546,363,118,30,19,11,182,8.0,3.0,6.9,216.0,6.9,865.0,7.1,582.0,6.9,1441.0,8.0,3.0,6.8,181.0,6.9,752.0,7.0,481.0,7.4,233.0,,,7.4,32.0,7.3,102.0,7.9,97.0,6.8,113.0,7.0,567.0,6.9,1024.0
tt0003014,7.1,948,7.2,7.0,128,100,161,275,156,55,33,9,8,23,7.0,1.0,7.0,136.0,6.9,403.0,7.3,244.0,7.0,676.0,7.0,1.0,7.0,113.0,6.9,351.0,7.1,200.0,7.4,107.0,,,6.9,20.0,7.2,44.0,8.0,41.0,6.8,83.0,7.1,212.0,7.0,519.0
tt0003037,7.0,1349,6.5,7.0,122,118,234,356,246,79,27,9,4,154,8.0,1.0,6.8,128.0,6.9,580.0,7.1,440.0,6.9,998.0,8.0,1.0,6.7,108.0,6.9,515.0,7.0,357.0,7.2,161.0,,,7.2,20.0,6.9,58.0,7.8,81.0,6.7,101.0,7.0,397.0,6.9,718.0
tt0003102,6.2,100,6.3,6.0,7,5,10,23,31,9,9,2,2,2,,,5.7,14.0,6.1,36.0,6.6,27.0,6.1,75.0,,,5.7,14.0,6.1,33.0,6.6,25.0,6.3,3.0,,,,,6.0,2.0,7.0,1.0,5.9,17.0,6.9,11.0,6.1,65.0
tt0003131,6.5,124,6.7,7.0,9,14,15,36,24,13,3,3,2,5,,,5.8,17.0,6.5,48.0,7.0,35.0,6.6,88.0,,,5.6,13.0,6.4,42.0,7.2,31.0,6.4,11.0,,,6.2,4.0,6.8,4.0,6.7,3.0,6.2,27.0,6.1,10.0,6.6,83.0
tt0003165,7.0,1050,6.6,7.0,105,99,164,282,184,76,21,10,6,103,,,6.8,103.0,6.9,450.0,7.1,347.0,6.9,787.0,,,6.7,87.0,6.8,398.0,7.0,286.0,7.5,124.0,,,7.0,16.0,7.2,46.0,8.3,60.0,6.6,94.0,6.8,310.0,7.0,570.0
tt0003167,5.8,187,6.1,6.0,15,6,16,32,54,32,13,12,2,5,,,5.5,14.0,5.6,59.0,5.8,62.0,5.7,124.0,,,5.1,10.0,5.6,51.0,5.8,57.0,6.4,16.0,,,9.0,4.0,5.3,6.0,7.0,4.0,5.5,38.0,5.4,52.0,5.9,77.0
tt0003419,6.5,1768,6.5,7.0,137,95,233,487,407,209,72,30,17,81,6.0,1.0,6.5,231.0,6.5,744.0,6.5,456.0,6.5,1230.0,6.0,1.0,6.4,175.0,6.5,635.0,6.4,381.0,6.7,224.0,,,6.7,51.0,6.6,97.0,7.1,71.0,6.2,117.0,6.3,350.0,6.5,978.0
tt0003471,6.0,552,6.0,6.0,26,15,71,100,158,94,39,20,6,23,,,5.2,42.0,5.8,182.0,6.3,226.0,5.9,399.0,,,4.9,33.0,5.7,161.0,6.3,198.0,6.5,54.0,,,5.8,9.0,6.6,18.0,6.8,25.0,5.9,67.0,6.1,251.0,6.0,184.0
tt0003489,6.2,474,6.1,6.0,22,8,52,117,146,56,30,9,12,22,,,6.0,32.0,5.9,151.0,6.5,185.0,6.1,329.0,,,6.1,27.0,5.8,131.0,6.5,162.0,6.2,43.0,,,5.8,4.0,6.2,17.0,6.6,21.0,6.2,55.0,6.2,156.0,6.1,197.0
tt0003637,6.4,378,6.5,7.0,16,23,76,94,84,43,15,12,4,11,,,6.2,50.0,6.2,135.0,6.7,115.0,6.4,252.0,,,6.2,34.0,6.0,110.0,6.7,99.0,6.9,53.0,,,6.3,14.0,7.2,22.0,7.0,15.0,6.2,53.0,6.5,74.0,6.4,213.0
tt0003643,6.4,1105,6.8,7.0,78,47,207,377,222,78,40,17,13,26,9.0,1.0,6.4,72.0,6.4,291.0,6.5,595.0,6.4,698.0,9.0,1.0,6.3,61.0,6.3,249.0,6.5,377.0,6.9,264.0,,,6.7,11.0,7.1,34.0,7.0,214.0,6.3,92.0,6.5,589.0,6.4,340.0
tt0003657,6.5,144,6.5,7.0,7,6,23,42,35,19,3,3,3,3,8.0,1.0,6.4,10.0,5.9,37.0,6.8,67.0,6.6,105.0,8.0,1.0,6.1,6.0,6.0,34.0,6.9,60.0,6.6,10.0,,,7.5,4.0,4.0,1.0,7.5,5.0,6.4,49.0,6.7,51.0,6.4,54.0
tt0003740,7.1,3073,6.5,7.0,285,301,591,727,443,199,85,27,18,397,6.0,3.0,7.0,393.0,7.0,1126.0,7.2,1006.0,7.1,2149.0,6.0,2.0,7.0,323.0,7.0,976.0,7.3,799.0,6.9,402.0,6.0,1.0,6.8,67.0,6.9,134.0,6.8,194.0,6.9,177.0,7.0,1035.0,7.0,1332.0
tt0003772,6.0,929,6.7,7.0,93,31,91,363,173,79,40,22,12,25,,,5.8,42.0,6.0,235.0,6.1,568.0,6.0,534.0,,,5.5,27.0,5.9,172.0,6.2,329.0,6.4,316.0,,,6.6,15.0,6.5,62.0,6.0,237.0,6.1,58.0,6.3,591.0,5.9,238.0
tt0003883,7.5,303,7.6,8.0,42,42,89,68,31,17,6,2,1,5,,,7.0,26.0,7.4,116.0,7.7,117.0,7.5,223.0,,,7.1,20.0,7.3,99.0,7.6,98.0,7.8,41.0,,,6.2,6.0,7.8,16.0,8.0,18.0,7.0,49.0,7.5,86.0,7.5,165.0
tt0003930,6.9,1161,6.5,7.0,142,105,154,306,192,76,25,10,6,145,,,6.7,107.0,6.9,505.0,6.9,386.0,6.8,874.0,,,6.6,91.0,6.9,452.0,6.8,316.0,7.4,131.0,,,6.8,16.0,7.2,45.0,8.0,68.0,6.5,103.0,6.9,342.0,6.9,629.0
tt0003973,5.8,202,6.0,6.0,10,2,18,45,55,40,17,6,2,7,,,5.7,21.0,5.5,73.0,6.2,64.0,5.7,131.0,,,4.7,11.0,5.5,64.0,6.1,52.0,6.4,25.0,,,6.7,9.0,5.3,6.0,6.4,10.0,5.4,27.0,6.0,79.0,5.8,72.0
tt0004026,6.8,1040,5.9,7.0,90,74,165,207,176,80,27,9,6,206,,,6.5,46.0,6.7,386.0,7.1,378.0,6.8,642.0,,,6.5,38.0,6.6,308.0,7.2,281.0,7.0,173.0,,,6.3,8.0,7.1,74.0,6.4,90.0,6.6,51.0,6.9,423.0,6.7,363.0
